130, 33, 118, 20, 148, 0, 160, 6

253, 37, 241, 27, 270, 0, 282, 1

408, 56, 396, 50, 415, 16, 427, 22

115, 50, 102, 37, 118, 21, 131, 34

53, 122, 37, 108, 100, 38, 115, 53

3, 179, 0, 164, 34, 110, 50, 125

156, 172, 143, 159, 165, 137, 178, 150

116, 237, 96, 223, 137, 162, 157, 175

352, 290, 352, 274, 371, 274, 371, 290

326, 305, 326, 285, 347, 285, 347, 305

284, 325, 277, 310, 315, 294, 322, 309

264, 356, 264, 336, 285, 336, 285, 356

282, 558, 267, 539, 316, 501, 331, 521

422, 707, 413, 628, 449, 624, 457, 703

348, 719, 331, 711, 372, 663, 389, 678

