651, 164, 649, 142, 695, 138, 697, 160
580, 174, 578, 152, 649, 143, 652, 165
544, 180, 541, 157, 575, 153, 578, 176
518, 180, 518, 160, 541, 160, 541, 180
441, 194, 437, 171, 515, 159, 518, 182
372, 199, 370, 175, 438, 171, 440, 194
248, 217, 245, 190, 346, 180, 349, 207
189, 221, 187, 198, 246, 193, 248, 216
527, 242, 526, 208, 563, 207, 564, 241
442, 260, 439, 221, 519, 214, 522, 253
352, 265, 349, 226, 433, 219, 436, 258
502, 291, 497, 250, 637, 236, 642, 276
282, 328, 276, 282, 491, 252, 498, 299
228, 463, 225, 441, 404, 414, 408, 436
